Name,2019,2020,% Change
55539500,11467,8398,-27%
55645000,4539,4715,4%
55650600,3340,3288,-2%
55662000,2335,2295,-2%
55670000,5257,4457,-15%
55671000,6509,5445,-16%
55675000,930,864,-7%
55686000,1231,1005,-18%
55687000,303,312,3%
55688000,3807,4503,18%
55689000,1129,1103,-2%
55707000,856,686,-20%
55708000,1274,828,-35%
55751000,272,243,-11%
55753000,1946,1710,-12%
55759000,1055,739,-30%
55765000,1397,1210,-13%
55767000,2582,2473,-4%
55797000,14170,11703,-17%
55798000,1970,1477,-25%
55799000,374,307,-18%
55800000,13715,12210,-11%
55805000,888,677,-24%
55808000,993,949,-4%
55809000,784,599,-24%
55810000,1503,1237,-18%
55811000,1368,1239,-9%
55813000,766,637,-17%
55814500,126,206,63%
55820000,1506,1334,-11%
55823000,2210,1873,-15%
55827000,2848,2511,-12%
55832000,1883,1714,-9%
55839000,808,713,-12%
55850000,261,282,8%
55855000,2682,2319,-14%
55871000,3622,2630,-27%
55887000,2845,2318,-19%
55887100,810,895,10%
55887400,2795,2469,-12%
55887700,382,399,4%
55887800,389,358,-8%
55887900,313,319,2%
55888100,488,406,-17%
55888200,372,361,-3%
55893000,491,481,-2%
55895000,1053,919,-13%
55895100,869,737,-15%
55895400,571,553,-3%
56052000,9518,8137,-15%
56064000,9145,7552,-17%
56075000,10163,10095,-1%
56090000,11642,9217,-21%
56385000,6720,6188,-8%
56393000,468,289,-38%
56399000,475,424,-11%
56421000,817,744,-9%
56435000,659,601,-9%
56438000,2295,1158,-50%
56441000,1736,1352,-22%
56442000,759,657,-13%
56446000,1130,1044,-8%
56452000,2835,2410,-15%
56461000,446,332,-26%
56469000,2949,2779,-6%
56490000,9209,6097,-34%
56540000,1658,1892,14%
56590000,982,663,-32%
56595000,3747,3721,-1%
56600100,1576,1283,-19%
56600600,3025,920,-70%
56602000,1718,1387,-19%
56607000,1356,1344,-1%
56613000,3396,3693,9%
56619000,890,710,-20%
56629000,2929,2829,-3%
56634000,1022,972,-5%
56638000,3103,3866,25%
56640000,4450,3752,-16%
56645000,565,484,-14%
56654000,785,848,8%
56664000,4694,4429,-6%
56666000,4360,4975,14%
56749000,128,143,12%
57247000,6494,6180,-5%
57278000,9535,6776,-29%
57310000,299,278,-7%
57312000,3041,5094,68%
57315000,750,704,-6%
57325000,268,238,-11%
57340500,1146,855,-25%
57341000,1267,1144,-10%
57342000,1372,1482,8%
57343000,392,487,24%
57346000,2164,2243,4%
57347000,5961,5097,-14%
57352000,2608,3229,24%
57355500,2170,2138,-1%
57356000,2068,2253,9%
57363000,1661,1729,4%
57373000,3416,2681,-22%
57378000,1162,1236,6%
57379000,2717,2334,-14%
57380000,1106,750,-32%
57380200,10857,9250,-15%
57380500,10691,11560,8%
57384000,7932,7620,-4%
57430000,2324,2227,-4%
57431000,1528,1317,-14%
57432000,3113,3544,14%
57433000,6030,4995,-17%
57485000,6248,5267,-16%
57495500,6731,6436,-4%
57511000,4073,3978,-2%
57528000,6958,6763,-3%
57532000,3517,4799,36%
57533000,3523,3661,4%
57534000,625,637,2%
57542000,3609,4064,13%
57544000,7912,7263,-8%
57547000,5859,5216,-11%
57547200,5293,5629,6%
57547400,4574,8383,83%
57547800,8026,8532,6%
57548000,7536,8929,18%
57549500,8115,9506,17%
57563000,2325,2184,-6%
57569000,2952,3405,15%
57570000,1914,1995,4%
57585000,6851,6881,0%
57585100,7156,6653,-7%
57585200,6605,6596,0%
57585500,7146,6712,-6%
57586500,5135,5926,15%
57587000,2880,2133,-26%
57591000,1846,1531,-17%
57592000,1028,939,-9%
61001723,5125,2768,-46%
61707012,9571,8322,-13%
61707995,5146,4725,-8%
61774011,1371,1228,-10%
61774873,2099,1263,-40%
61774874,217,170,-22%
61774875,4295,3139,-27%
61774877,6963,5023,-28%
61774878,4010,2385,-41%
61774882,583,477,-18%
61774883,1524,993,-35%
61774885,1124,1111,-1%
61774892,850,704,-17%
61774902,2689,1683,-37%
61774903,155,124,-20%
61774913,1130,988,-13%
61774917,1723,1079,-37%
61774922,2779,2182,-21%
