Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins,,,,,,,,,,,,,,,,
3/2/2019 0:00,000052525000,2,60,3,Southbound Lane 1,2,South,68,8192,Checked,32738,16,0,0,0,0,1,2,4,14,17,24,5,1,0,0,0,0,
3/2/2019 0:00,000052525000,2,60,4,Southbound Lane 2,2,South,30,8192,Checked,32738,16,0,0,0,0,0,1,0,1,5,14,6,3,0,0,0,0,
3/2/2019 1:00,000052525000,2,60,1,Northbound Lane 1,1,North,101,8192,Checked,32738,16,0,0,0,0,0,0,1,8,30,46,12,2,2,0,0,0,
3/2/2019 1:00,000052525000,2,60,2,Northbound Lane 2,1,North,31,8192,Checked,32738,16,0,0,0,0,0,0,0,0,3,11,14,1,1,1,0,0,
3/2/2019 1:00,000052525000,2,60,3,Southbound Lane 1,2,South,54,8192,Checked,32738,16,0,0,0,0,1,1,1,6,14,27,4,0,0,0,0,0,
3/2/2019 1:00,000052525000,2,60,4,Southbound Lane 2,2,South,17,8192,Checked,32738,16,0,0,0,0,0,0,1,0,1,12,3,0,0,0,0,0,
3/2/2019 2:00,000052525000,2,60,1,Northbound Lane 1,1,North,60,8192,Checked,32738,16,0,0,0,0,0,1,1,5,19,28,5,0,1,0,0,0,
3/2/2019 2:00,000052525000,2,60,2,Northbound Lane 2,1,North,26,8192,Checked,32738,16,0,0,0,0,0,0,0,0,3,13,8,2,0,0,0,0,
3/2/2019 2:00,000052525000,2,60,3,Southbound Lane 1,2,South,49,8192,Checked,32738,16,0,0,0,0,0,1,1,10,15,10,9,2,1,0,0,0,
3/2/2019 2:00,000052525000,2,60,4,Southbound Lane 2,2,South,12,8192,Checked,32738,16,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,0,
3/2/2019 3:00,000052525000,2,60,1,Northbound Lane 1,1,North,47,8192,Checked,32738,16,0,0,0,0,0,1,1,1,17,20,7,0,0,0,0,0,
3/2/2019 3:00,000052525000,2,60,2,Northbound Lane 2,1,North,25,8192,Checked,32738,16,0,0,0,0,0,0,1,0,2,13,8,0,1,0,0,0,
3/2/2019 3:00,000052525000,2,60,3,Southbound Lane 1,2,South,59,8192,Checked,32738,16,0,0,0,0,0,1,0,3,18,27,9,1,0,0,0,0,
3/2/2019 3:00,000052525000,2,60,4,Southbound Lane 2,2,South,14,8192,Checked,32738,16,0,0,0,0,0,0,0,0,2,5,5,1,1,0,0,0,
3/2/2019 4:00,000052525000,2,60,1,Northbound Lane 1,1,North,35,8192,Checked,32738,16,0,0,0,0,0,0,5,3,11,13,2,1,0,0,0,0,
3/2/2019 4:00,000052525000,2,60,2,Northbound Lane 2,1,North,9,8192,Checked,32738,16,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,
3/2/2019 4:00,000052525000,2,60,3,Southbound Lane 1,2,South,102,8192,Checked,32738,16,0,0,0,0,1,0,5,10,20,46,19,1,0,0,0,0,
3/2/2019 4:00,000052525000,2,60,4,Southbound Lane 2,2,South,33,8192,Checked,32738,16,0,0,0,0,0,0,0,1,0,13,15,4,0,0,0,0,
